????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1399/11/03,24,16,45,13,29,52,52,,1,,,,
?? ??????? ??,1399/11/04,23,16,50,24,46,64,64,,1,,,,
?? ??????? ??,1399/11/05,30,16,73,21,51,76,76,,1,,,,
?? ??????? ??,1399/11/06,38,12,87,27,70,109,109,,,1,,,
?? ??????? ??,1399/11/07,39,10,95,46,88,150,150,,,1,,,
?? ??????? ??,1399/11/08,40,9,93,35,83,141,141,,,1,,,
?? ??????? ??,1399/11/09,46,12,95,66,84,139,139,,,1,,,
?? ??????? ??,1399/11/10,32,11,81,55,87,145,145,,,1,,,
?? ??????? ??,1399/11/11,23,13,85,53,60,107,107,,,1,,,
?? ??????? ??,1399/11/12,23,21,58,21,34,53,58,,1,,,,
?? ??????? ??,1399/11/13,32,13,72,26,40,62,72,,1,,,,
?? ??????? ??,1399/11/14,37,18,78,25,55,88,88,,1,,,,
?? ??????? ??,1399/11/15,42,19,94,29,73,131,131,,,1,,,
?? ??????? ??,1399/11/16,37,21,94,33,77,136,136,,,1,,,
?? ??????? ??,1399/11/17,31,50,86,22,71,124,124,,,1,,,
?? ??????? ??,1399/11/18,22,19,66,15,49,81,81,,1,,,,
?? ??????? ??,1399/11/19,27,16,60,14,34,66,66,,1,,,,
?? ??????? ??,1399/11/20,39,6,81,17,56,112,112,,,1,,,
?? ??????? ??,1399/11/21,42,17,96,27,73,122,122,,,1,,,
?? ??????? ??,1399/11/22,43,13,96,31,66,99,99,,1,,,,
?? ??????? ??,1399/11/23,33,18,74,27,56,85,85,,1,,,,
?? ??????? ??,1399/11/24,27,53,57,23,44,72,72,,1,,,,
